C1, 12.70, 10.41, 270.00, 104, C0603K
C2, 10.67, 10.41, 270.00, 104, C0603K
C3, 8.64, 10.41, 270.00, 10uF, C0603K
C4, 40.01, 11.71, 180.00, 104, C0603K
C5, 23.88, 10.41, 270.00, 104, C0603K
C6, 21.84, 10.41, 270.00, 10uF, C0603K
PWR, 6.60, 10.41, 180.00, , CHIP-LED0603
R1, 4.57, 10.41, 270.00, 330E, R0603
R2, 25.91, 10.41, 90.00, 33k, R0603
U51, 32.26, 8.89, 0.00, CH552G, MY_IC_SO16
